schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-your-job-description-here-compucorp-inc-1136336,Compucorp Inc,YOUR JOB DESCRIPTION HERE,2026-08-08T13:23:12Z,True,Engineering,2026-08-12T07:41:59.467574Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-classic-get-a-job-1136333,Get A Job,CLASSIC,2026-08-08T12:24:00Z,True,Engineering,2026-08-12T07:41:59.445648Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-werebox-playtomax-1136330,Playtomax,WereBox,2026-08-08T12:11:12Z,True,Engineering,2026-08-12T07:41:59.390858Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-exit-searcher-playtomax-1136328,Playtomax,Exit Searcher,2026-08-08T12:10:40Z,True,Engineering,2026-08-12T07:41:59.368171Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-director-proposal-management-defense-and-space-honeywell-aerospace-1136470,Honeywell Aerospace,Director Proposal Management Defense and Space,2026-08-08T11:49:53Z,True,Engineering,2026-08-12T07:41:59.460304Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-host-hostess-local-public-eatery-garry-st-local-public-eatery-1136513,Local Public Eatery,Host Hostess LOCAL Public Eatery Garry St,2026-08-08T11:00:57Z,True,Engineering,2026-08-12T07:41:59.460304Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-nocts-skinventory-1136329,Skinventory,Nocts,2026-08-08T09:38:52Z,True,Engineering,2026-08-12T07:41:59.339308Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-hiring-process-beltrami-county-1136346,Beltrami County,Hiring Process,2026-08-08T06:22:42Z,True,Engineering,2026-08-12T07:41:59.192978Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-wholesale-mercanti-1136325,Mercanti,Wholesale,2026-08-08T06:05:55Z,True,Engineering,2026-08-12T07:41:59.421485Z
1.0,JOB,RemoteOK AI Jobs,https://remoteOK.com/remote-jobs/remote-this-time-feels-different-chinadebate-1136327,Chinadebate,'This Time Feels Different,2026-08-08T05:28:17Z,True,Engineering,2026-08-12T07:41:59.323238Z
